rental_id,car_id,checkin_type,state,delay,previous_id,time_delta,previous_delay
549935,408639,mobile,ended,42.0,545149.0,240.0,37.0
528135,363936,mobile,ended,-71.0,524255.0,240.0,53.0
534419,362595,mobile,ended,28.0,538769.0,120.0,6.0
534678,383344,connect,ended,164.0,563620.0,240.0,74.0
510250,317024,connect,ended,-98.0,555935.0,270.0,50.0
519298,352528,connect,ended,295.0,540649.0,480.0,90.0
520824,396532,mobile,ended,-365.0,536007.0,90.0,46.0
563330,414410,mobile,canceled,,563358.0,60.0,15.0
563901,376491,connect,ended,-170.0,559165.0,240.0,90.0
554042,260745,mobile,ended,72.0,563190.0,30.0,262.0
554396,402078,mobile,ended,388.0,547517.0,630.0,67.0
555810,303930,mobile,ended,61.0,549332.0,630.0,53.0
555861,361518,mobile,ended,-100.0,563287.0,30.0,22.0
564685,283930,mobile,ended,33.0,563173.0,270.0,264.0
565445,353138,mobile,ended,71.0,563150.0,120.0,60.0
535011,369881,connect,ended,5.0,506161.0,120.0,6.0
540523,342699,connect,ended,42.0,537316.0,120.0,66.0
